Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/,12149,11078,4,5337.155470368067,1.6009807586669922,60745.82386016846,13227.613383817597,20.26774463050295,18.481033419763904,4,6,690,8000,19000,30000,60000,60000,60000,61000,61000,61000
,Aggregated,12149,11078,4,5337.155470368067,1.6009807586669922,60745.82386016846,13227.613383817597,20.26774463050295,18.481033419763904,4,6,690,8000,19000,30000,60000,60000,60000,61000,61000,61000
