Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/,4560,5,25000.0,26687.44621710819,41.87202453613281,55810.17303466797,30417.245175438595,7.701131946906295,0.008444223625993744,25000,36000,39000,40000,44000,48000,50000,51000,54000,56000,56000,56000
,Aggregated,4560,5,25000.0,26687.44621710819,41.87202453613281,55810.17303466797,30417.245175438595,7.701131946906295,0.008444223625993744,25000,36000,39000,40000,44000,48000,50000,51000,54000,56000,56000,56000
