Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/,2520,2167,60000.0,56889.78287445175,22.070884704589844,60444.836139678955,19082.18253968254,4.205513686587192,3.6164079995374783,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,2520,2167,60000.0,56889.78287445175,22.070884704589844,60444.836139678955,19082.18253968254,4.205513686587192,3.6164079995374783,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
