Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
POST,/,6229,5853,65,20538.26975673174,1.8241405487060547,63206.31384849548,4384.12441804463,10.118602644994386,9.507815264272297,65,25000,60000,60000,60000,60000,61000,61000,63000,63000,63000,63000
,Aggregated,6229,5853,65,20538.26975673174,1.8241405487060547,63206.31384849548,4384.12441804463,10.118602644994386,9.507815264272297,65,25000,60000,60000,60000,60000,61000,61000,63000,63000,63000,63000
