"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1594142271","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1594142273","15","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1594142276","15","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1594142278","15","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1594142280","15","","Aggregated",0.00,0.00,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,1,0,7027,7027,7027,7027,75751
"1594142282","15","","Aggregated",0.00,0.00,8800,9100,9600,9700,9800,9900,9900,9900,9900,9900,9900,9900,15,0,8800,8688,7027,9932,74520
"1594142284","15","","Aggregated",0.00,0.00,8800,9100,9600,9700,9800,9900,9900,9900,9900,9900,9900,9900,15,0,8800,8688,7027,9932,74520
"1594142286","15","","Aggregated",0.00,0.00,8900,9200,9600,9700,9800,9900,9900,9900,9900,9900,9900,9900,15,0,8800,8688,7027,9932,74520
"1594142288","24","","Aggregated",0.00,0.00,8900,9200,9600,9700,9800,9900,9900,9900,9900,9900,9900,9900,15,0,8800,8688,7027,9932,74520
"1594142290","30","","Aggregated",1.50,0.00,9100,9200,9700,9700,9800,9900,9900,9900,9900,9900,9900,9900,16,0,8500,8265,1909,9932,75450
"1594142292","30","","Aggregated",1.50,0.00,8800,9100,9600,9700,9800,9900,9900,9900,9900,9900,9900,9900,19,0,8400,7458,1909,9932,77806
